公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
永杨安风（北京）科技有限公司,LBE 科技,50-150人,B轮,朝阳区,python工程师,3-5年,本科,20k-40k,"六险一金,工作居住证,扁平管理"
爱笔（北京）智能科技有限公司,Aibee,50-150人,天使轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"初创公司,技术驱动"
北京高域海汇科技有限公司,高域海汇,50-150人,不需要融资,朝阳区,Python开发工程师,1-3年,本科,12k-20k,"核心业务,行业大牛,弹性作息,超多福利"
乐飞天下信息技术(北京)有限公司,乐飞天下,50-150人,未融资,朝阳区,python研发工程师,应届毕业生,本科,8k-12k,大数据；高并发；五险一金；技术培训；
北京基调网络股份有限公司,听云,150-500人,上市公司,朝阳区,Python研发工程师,3-5年,本科,17k-24k,上市公司 带薪年假 地铁周边
慧影医疗科技（北京）有限公司,慧影医疗,150-500人,C轮,海淀区,python工程师,5-10年,本科,15k-30k,"弹性工作,七险一金,十三薪"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,Python研发工程师,1-3年,本科,15k-25k,"六险一金,节日福利,带薪休假,餐补"
北京创新伙伴教育科技有限公司,智课网,500-2000人,B轮,海淀区,python开发工程师,1-3年,本科,10k-20k,七险一金、大牛带队
北京涵德投资管理有限公司,涵德投资,15-50人,未融资,海淀区,Python开发工程师,不限,本科,10k-15k,公司发展快
颐邦（北京）医院管理有限公司,颐邦科技,少于15人,天使轮,海淀区,Python研发工程师,1-3年,本科,15k-25k,"团队优秀,技术强,薪酬高,福利好"
北京启明合心科技有限公司,合心科技,50-150人,B轮,海淀区,中级python开发工程师,不限,本科,20k-35k,"领导好,不打卡,午晚餐,年底双薪"
轻易科技有限公司,轻易贷,2000人以上,上市公司,海淀区,Python开发工程师,3-5年,本科,15k-28k,"弹性工作制,扁平化管理,绩效奖金"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python开发工程师,1-3年,本科,18k-35k,"全五险一金,牛人多,发展快,福利好"
北京泛鹏天地科技股份有限公司,泛鹏天地,500-2000人,不需要融资,朝阳区,python高级工程师,5-10年,本科,15k-18k,云产品研发
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,朝阳区,python开发,3-5年,本科,10k-18k,"七险一金,带薪年假,弹性工作,职位晋升"
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,高级Python研发工程师,3-5年,本科,25k-35k,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大"
